Original English,Punjabi Translation,Page Source,Extracted Date,Translated Date
"Ask me yes or no questions.","ਮੈਨੂੰ ਹਾਂ ਜਾਂ ਨਹੀਂ ਸਵਾਲ ਪੁੱਛੋ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Ask yes/no questions","ਹਾਂ/ਨਹੀਂ ਸਵਾਲ ਪੁੱਛੋ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Communication Repairs","ਸੰਚਾਰ ਮੁਰੰਮਤ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Feelings","ਭਾਵਨਾਵਾਂ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Give me choices","ਮੈਨੂੰ ਵਿਕਲਪ ਦਿਓ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Give me choices.","ਮੈਨੂੰ ਵਿਕਲਪ ਦਿਓ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Greetings and Social","ਸ਼ੁਭਕਾਮਨਾਵਾਂ ਅਤੇ ਸਮਾਜਿਕ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"Have a question","ਇੱਕ ਸਵਾਲ ਹੈ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I don't understand","ਮੈਨੂੰ ਸਮਝ ਨਹੀਂ ਆਇਆ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I don't understand.","ਮੈਨੂੰ ਸਮਝ ਨਹੀਂ ਆਇਆ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I have a question.","ਮੇਰਾ ਇੱਕ ਸਵਾਲ ਹੈ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I understand","ਮੈਂ ਸਮਝਦਾ ਹਾਂ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I understand.","ਮੈਂ ਸਮਝਦਾ ਹਾਂ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I want to tell you a story.","ਮੈਂ ਤੁਹਾਨੂੰ ਇੱਕ ਕਹਾਣੀ ਦੱਸਣਾ ਚਾਹੁੰਦਾ ਹਾਂ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I'm stuck","ਮੈਂ ਫਸ ਗਿਆ ਹਾਂ","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
"I'm stuck.","ਮੈਂ ਫਸ ਗਿਆ ਹਾਂ।","QuickFires - Communication Repairs","7/25/2025","7/25/2025"
